Gene	Alteration	Origin	Entities	Comments
PPM1D	Amplication; Missense; Nonsense; Frameshift; ; 	Somatic; 	[glioma, ovarian cancer, breast cancer]; []	oncogene
PPP2R1A	Missense; ; ; ; ; 	Somatic; 	[clear cell ovarian carcinoma]; []	TSG
PPP6C	Missense; Nonsense; ; ; ; 	Somatic; 	[melanoma]; []	TSG
PRCC	Translocation; ; ; ; ; 	Somatic; 	[papillary renal]; []	fusion
PRDM1	Deletion; Nonsense; Missense; Frameshift; Splice site; 	Somatic; 	[DLBCL]; []	TSG
PRDM16	Translocation; ; ; ; ; 	Somatic; 	[MDS, AML]; []	oncogene, fusion
PRDM2	Other; Frameshift; ; ; ; 	Somatic; 	[glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC]; []	TSG
PREX2	Missense; Nonsense; ; ; ; 	Somatic; 	[melanoma, pancreatic ductal adenocarcinoma]; []	oncogene
PRF1	Missense; ; ; ; ; 	; Germline	[]; [various leukaemia, lymphoma]	TSG
PRKACA	Translocation; Missense; Nonsense; ; ; 	Somatic; 	[fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma]; []	oncogene
PRKAR1A	Translocation; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[papillary thyroid]; [myxoma, endocrine, papillary thyroid]	oncogene, TSG, fusion
PRKCB	Missense; ; ; ; ; 	Somatic; 	[adult T-cell lymphoma-leukaemia]; []	
PRKD1	Translocation; Missense; ; ; ; 	Somatic; 	[cribriform adenocarcinoma of the minor salivary glands, polymorphous adenocarcinoma of the minor salivary glands]; []	fusion
PRPF40B	Frameshift; Nonsense; ; ; ; 	Somatic; 	[melanoma, colon carcinoma, MDS]; []	
PRRX1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
PSIP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
PTCH1	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[skin basal cell, medulloblastoma]; [skin basal cell, medulloblastoma]	TSG
PTEN	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[glioma, prostate, endometrial]; [harmartoma, glioma, prostate, endometrial]	TSG
PTK6	Missense; Nonsense; ; ; ; 	Somatic; 	[renal, gastric, head and neck, ovarian, others]; []	oncogene, TSG
PTPN11	Missense; ; ; ; ; 	Somatic; 	[JMML, AML, MDS]; []	oncogene
PTPN13	Missense; Nonsense; ; ; ; 	Somatic; Germline	[lung, NSCLC, gastric, peritoneal carcinomatosis]; [hepatocellular]	TSG
PTPN6	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	TSG
PTPRB	Nonsense; Missense; Splice site; Frameshift; ; 	Somatic; 	[angiosarcoma]; []	TSG
PTPRC	Missense; Nonsense; Splice site; ; ; 	Somatic; 	[T-ALL]; []	TSG
PTPRD	Deletion; Nonsense; Missense; ; ; 	Somatic; 	[lung cancer, kidney cancer, HNSCC, glioblastoma]; []	TSG
PTPRK	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	TSG, fusion
PTPRT	Missense; Nonsense; ; ; ; 	Somatic; 	[HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma]; []	TSG
PWWP2A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
QKI	Missense; Frameshift; Translocation; ; ; 	Somatic; 	[angiocentric glioma, colorectal cancer]; []	oncogene, TSG
RABEP1	Translocation; ; ; ; ; 	Somatic; 	[CMML]; []	fusion
RAC1	Missense; Frameshift; ; ; ; 	Somatic; 	[melanoma, carcinoma]; []	oncogene
RAD17	Deletion; ; ; ; ; 	Somatic; 	[lymphoma, colon cancer]; []	TSG
RAD21	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[AML, endometrium, colorectal, lung]; []	oncogene, TSG
RAD51B	Translocation; ; ; ; ; 	Somatic; 	[lipoma, uterine leiomyoma]; []	TSG, fusion
RAF1	Translocation; Amplification; ; ; ; 	Somatic; 	[pilocytic astrocytoma, prostate]; []	oncogene, fusion
RALGDS	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma,]; []	fusion
RANBP2	Translocation; ; ; ; ; 	Somatic; 	[inflammatory myofibroblastic tumour]; []	TSG, fusion
RAP1GDS1	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
RARA	Translocation; ; ; ; ; 	Somatic; 	[APL]; []	oncogene, fusion
RB1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[retinoblastoma, sarcoma, breast, small cell lung carcinoma]; [retinoblastoma, sarcoma, breast, small cell lung carcinoma]	TSG
RBM10	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[lung adenocarcinoma]; []	TSG
RBM15	Translocation; ; ; ; ; 	Somatic; 	[acute megakaryocytic leukaemia]; []	fusion
RECQL4	Nonsense; Frameshift; Splice site; ; ; 	; Germline	[]; [osteosarcoma, skin basal cell, skin sqamous cell]	oncogene, TSG
REL	Amplication; ; ; ; ; 	Somatic; 	[Hodgkin lymphoma]; []	oncogene
RET	Translocation; Missense; Nonsense; Frameshift; ; 	Somatic; Germline	[medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour]; [medullary thyroid,  papillary thyroid, pheochromocytoma]	oncogene, fusion
RFWD3	Deletion; ; ; ; ; 	Somatic; Germline	[lung cancer]; []	TSG
RGPD3	Missense; ; ; ; ; 	Somatic; 	[endometrioid adenocarcinoma]; []	
RGS7	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	
RHOA	Missense; Frameshift; Other; ; ; 	Somatic; 	[diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma]; []	oncogene, TSG
RHOH	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	TSG, fusion
RMI2	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	TSG, fusion
RNF213	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion
RNF43	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; 	[cholangiocarcinoma, ovary, pancreas]; []	TSG
ROBO2	Frameshift; ; ; ; ; 	Somatic; 	[colorectal adenocarcinoma, melanoma]; []	TSG
ROS1	Translocation; ; ; ; ; 	Somatic; 	[glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian]; []	oncogene, fusion
RPL10	Missense; ; ; ; ; 	Somatic; 	[T-ALL]; []	TSG
RPL22	Translocation; ; ; ; ; 	Somatic; 	[AML, CML]; []	TSG, fusion
RPL5	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[T-ALL]; []	TSG
RPN1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
RSPO2	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	TSG, fusion
RSPO3	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	oncogene, fusion
RUNX1	Translocation; ; ; ; ; 	Somatic; 	[AML, pre B-ALL, T-ALL]; []	oncogene, TSG, fusion
RUNX1T1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion
S100A7	Missense; Translocation; ; ; ; 	Somatic; 	[melanoma, T-cell lymphoma]; []	fusion
SALL4	Missense; Frameshift; ; ; ; 	Somatic; 	[colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma]; []	oncogene
SBDS	Frameshift; Nonsense; Other; ; ; 	; Germline	[]; [AML, MDS]	TSG
SDC4	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	fusion
SDHA	Missense; Nonsense; ; ; ; 	Somatic; Germline	[GIST, paraganglioma]; [paraganglioma]	TSG
SDHAF2	Missense; ; ; ; ; 	; Germline	[]; [paraganglioma]	TSG
SDHB	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [paraganglioma, pheochromocytoma]	TSG
SDHC	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [paraganglioma, pheochromocytoma]	TSG
SDHD	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [paraganglioma, pheochromocytoma]	TSG
Sep-05	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
Sep-06	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
Sep-09	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	fusion
SET	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
SETBP1	Missense; Translocation; ; ; ; 	Somatic; Germline	[aCML, sAML, MDS/MPN-U, CMML, JMML]; [neuroepithelial tumours]	oncogene, fusion
SETD1B	Deletion; Frameshift; ; ; ; 	Somatic; 	[CRC, endometrium]; []	TSG
SETD2	Nonsense; Frameshift; Splice site; Missense; ; 	Somatic; 	[clear cell renal carcinoma]; []	TSG
SETDB1	Frameshift; Missense; ; ; ; 	Somatic; 	[malignant mesothelioma]; []	oncogene
SF3B1	Missense; ; ; ; ; 	Somatic; 	[myelodysplastic syndrome]; []	oncogene
SFPQ	Translocation; ; ; ; ; 	Somatic; 	[papillary renal]; []	TSG, fusion
SFRP4	Missense; ; ; ; ; 	Somatic; 	[colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC]; []	TSG
SGK1	Missense; ; ; ; ; 	Somatic; 	[Nodular lymphocyte predominant Hodgkin lymphoma]; []	oncogene
SH2B3	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[MPN, sAML, erythrocytosis, B-ALL]; []	TSG
SH3GL1	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, fusion
SHTN1	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
SIRPA	Other; Frameshift; ; ; ; 	Somatic; 	[HNSCC, colorectal cancer, Lung SCC]; []	TSG
SIX1	Missense; ; ; ; ; 	Somatic; 	[Wilms tumour]; []	oncogene
SIX2	Missense; ; ; ; ; 	Somatic; 	[Wilms tumour]; []	oncogene
SKI	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene
SLC34A2	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	TSG, fusion
SLC45A3	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
SMAD2	Missense; Nonsense; ; ; ; 	Somatic; 	[colorectal carcinoma, hepatocellular carcinoma]; []	TSG
SMAD3	Missense; ; ; ; ; 	Somatic; 	[colorectal carcinoma, oral squamous cell carcinoma]; []	TSG
SMAD4	Deletion; Missense; Nonsense; Frameshift; ; 	Somatic; Germline	[colorectal, pancreatic, small intestine]; [gastrointestinal polyp]	TSG
SMARCA4	Frameshift; Nonsense; Missense; Splice site; ; 	Somatic; 	[NSCLC, SCCOHT]; []	TSG
SMARCB1	Deletion; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[malignant rhabdoid]; [malignant rhabdoid]	TSG
SMARCD1	Nonsense; ; ; ; ; 	Somatic; 	[breast]; []	TSG
SMARCE1	Frameshift; Missense; Nonsense; ; ; 	; Germline	[]; [meningioma]	TSG
SMC1A	Missense; ; ; ; ; 	Somatic; 	[AML]; []	TSG
SMO	Missense; ; ; ; ; 	Somatic; 	[skin basal cell]; []	oncogene
SND1	Translocation; ; ; ; ; 	Somatic; 	[pancreas acinar carcinoma]; []	oncogene, fusion
SNX29	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	fusion
SOCS1	Frameshift; Other; ; ; ; 	Somatic; 	[Hodgkin lymphoma, PMBL]; []	TSG
SOX2	Amplication; ; ; ; ; 	Somatic; 	[NSCLC, oesophageal squamous carcinoma]; []	oncogene
SOX21	Deletion; ; ; ; ; 	Somatic; 	[multiple myeloma]; []	TSG
SPECC1	Translocation; ; ; ; ; 	Somatic; 	[JMML]; []	fusion
SPEN	Frameshift; Missense; Nonsense; ; ; 	Somatic; 	[SMZL, adenoid cystic carcinoma, DLBCL]; []	TSG
SPOP	Missense; ; ; ; ; 	Somatic; Germline	[prostate, endometrial]; [prostate cancer]	TSG
SRC	Missense; Nonsense; ; ; ; 	Somatic; 	[colorectal cancer, endometrial carcinoma]; []	oncogene
SRGAP3	Translocation; ; ; ; ; 	Somatic; 	[pilocytic astrocytoma]; []	fusion
SRSF2	Missense; ; ; ; ; 	Somatic; 	[MDS, CLL]; []	oncogene
SRSF3	Translocation; ; ; ; ; 	Somatic; 	[follicular lymphoma]; []	oncogene, fusion
SS18	Translocation; ; ; ; ; 	Somatic; 	[synovial sarcoma]; []	fusion
SS18L1	Translocation; ; ; ; ; 	Somatic; 	[synovial sarcoma]; []	fusion
SSX1	Translocation; ; ; ; ; 	Somatic; 	[synovial sarcoma]; []	oncogene, fusion
SSX2	Translocation; ; ; ; ; 	Somatic; 	[synovial sarcoma]; []	oncogene, fusion
SSX4	Translocation; ; ; ; ; 	Somatic; 	[synovial sarcoma]; []	oncogene, fusion
STAG1	Missense; Nonsense; ; ; ; 	Somatic; 	[colorectal cancer, AML]; []	TSG
STAG2	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; 	[bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms]; []	TSG
STAT3	Missense; Other; ; ; ; 	Somatic; Germline	[T-cell large granular lymphocytic leukaemia]; [paediatric large granular lymphocytic leukaemia]	oncogene
STAT5B	Missense; Other; Translocation; ; ; 	Somatic; 	[large granular lymphocytic leukaemia, skin basal cell, APL]; []	oncogene, TSG, fusion
STAT6	Translocation; ; ; ; ; 	Somatic; 	[solitary fibrous tumour, meningeal haemangiopericytoma]; []	oncogene, fusion
STIL	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
STK11	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[NSCLC, pancreatic]; [jejunal hamartoma, ovarian, testicular, pancreatic]	TSG
STRN	Translocation; ; ; ; ; 	Somatic; 	[anaplastic thyroid, papillary thyroid, lung]; []	fusion
SUB1	Amplication; ; ; ; ; 	Somatic; 	[lung cancer]; []	
SUFU	Deletion; Frameshift; Splice site; ; ; 	Somatic; Germline	[medulloblastoma]; [medulloblastoma]	TSG
SUZ12	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal tumour]; []	oncogene, TSG, fusion
SYK	Translocation; ; ; ; ; 	Somatic; 	[MDS, peripheral T-cell lymphoma]; []	oncogene, fusion
TAF15	Translocation; ; ; ; ; 	Somatic; 	[extraskeletal myxoid chondrosarcoma, ALL]; []	oncogene, fusion
TAL1	Translocation; ; ; ; ; 	Somatic; 	[lymphoblastic leukaemia/biphasic]; []	oncogene, fusion
TAL2	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
TBL1XR1	Frameshift; Missense; ; ; ; 	Somatic; 	[splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma]; []	oncogene, TSG, fusion
TBX3	Missense; Nonsense; Frameshift; Other; ; 	Somatic; 	[breast, large intestine, skin]; []	oncogene, TSG
TCEA1	Translocation; ; ; ; ; 	Somatic; 	[salivary adenoma]; []	fusion
TCF12	Translocation; ; ; ; ; 	Somatic; 	[extraskeletal myxoid chondrosarcoma]; []	fusion
TCF3	Translocation; ; ; ; ; 	Somatic; 	[pre B-ALL]; []	oncogene, TSG, fusion
TCF7L2	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	oncogene, fusion
TCL1A	Translocation; ; ; ; ; 	Somatic; 	[T-CLL]; []	oncogene, fusion
TEC	Translocation; ; ; ; ; 	Somatic; 	[myxoid chondrosarcoma]; []	oncogene, fusion
TENT5C	Missense; Frameshift; Other; ; ; 	Somatic; 	[MM]; []	TSG
TERT	Promoter missense; ; ; ; ; 	Somatic; Germline	[melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types]; [melanoma]	oncogene, TSG
TET1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion
TET2	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[MDS]; []	TSG
TFE3	Translocation; ; ; ; ; 	Somatic; 	[papillary renal, alveolar soft part sarcoma, renal]; []	oncogene, fusion
TFEB	Translocation; ; ; ; ; 	Somatic; 	[renal cell carcinoma (childhood epithelioid)]; []	oncogene, fusion
TFG	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, ALCL, NSCLC, extraskeletal myxoid chondrosarcoma]; []	fusion
TFPT	Translocation; ; ; ; ; 	Somatic; 	[pre-B ALL]; []	fusion
TFRC	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
TGFBR2	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[head and neck, colorectal]; [colorectal]	TSG
THRAP3	Translocation; ; ; ; ; 	Somatic; 	[aneurysmal bone cyst]; []	fusion
TLX1	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
TLX3	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
TMEM127	Frameshift; Nonsense; ; ; ; 	; Germline	[]; [pheochromocytoma, renal cell carcinoma]	TSG
TMPRSS2	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
TMSB4X	Missense; Splice site; Nonsense; Frameshift; ; 	Somatic; 	[DLBCL]; []	oncogene
TNC	Missense; ; ; ; ; 	Somatic; 	[SCC, melanoma]; []	oncogene
TNFAIP3	Deletion; Nonsense; Frameshift; ; ; 	Somatic; 	[marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL]; []	TSG
TNFRSF14	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[follicular lymphoma]; []	TSG
TNFRSF17	Translocation; ; ; ; ; 	Somatic; 	[intestinal T-cell lymphoma]; []	oncogene, fusion
TOP1	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	fusion
TP53	Missense; Nonsense; Frameshift; Translocation; ; 	Somatic; Germline	[breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types]; [breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types]	oncogene, TSG, fusion
TP63	Missense; Nonsense; Translocation; ; ; 	Somatic; Germline	[HNSCC, DLBCL]; [NSCLC]	oncogene, TSG
TPM3	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, ALCL, NSCLC, Spitzoid tumour]; []	TSG, fusion
TPM4	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion
TPR	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, NSCLC]; []	fusion
TRA	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	fusion
TRAF7	Missense; ; ; ; ; 	Somatic; 	[meningioma]; []	TSG
TRB	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	fusion
TRD	Translocation; ; ; ; ; 	Somatic; 	[T-cell leukaemia]; []	fusion
TRIM24	Translocation; ; ; ; ; 	Somatic; 	[APL]; []	oncogene, TSG, fusion
TRIM27	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	oncogene, fusion
TRIM33	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	TSG, fusion
TRIP11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
TRRAP	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene
TSC1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[renal cell carcinoma, bladder carcinoma]; [hamartoma, renal cell carcinoma, tuberous sclerosis tuber]	TSG
TSC2	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC]; [hamartoma, renal cell carcinoma, tuberous sclerosis tuber]	TSG
TSHR	Missense; ; ; ; ; 	Somatic; Germline	[toxic thyroid adenoma]; [thyroid adenoma]	oncogene
U2AF1	Missense; ; ; ; ; 	Somatic; 	[CLL, MDS]; []	oncogene
UBR5	Frameshift; Nonsense; Missense; Splice site; ; 	Somatic; 	[mantle cell lymphoma, gastric, colorectal]; []	oncogene
USP44	Deletion; ; ; ; ; 	Somatic; 	[lung cancer, colon cancer]; []	TSG
USP6	Translocation; ; ; ; ; 	Somatic; 	[aneurysmal bone cyst]; []	oncogene, fusion
USP8	Missense; Nonsense; ; ; ; 	Somatic; 	[corticotroph adenoma]; []	oncogene
USP9X	Translocation; ; ; ; ; 	Somatic; Germline	[colon carcinoma]; [colon carcinoma]	fusion
VAV1	Translocation; Other; ; ; ; 	Somatic; 	[T-cell lymphoma]; []	fusion
VHL	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[renal, haemangioma, pheochromocytoma]; [renal, haemangioma, pheochromocytoma]	TSG
VTI1A	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	fusion
WAS	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [lymphoma]	oncogene
WDCP	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	fusion
WIF1	Translocation; ; ; ; ; 	Somatic; 	[pleomorphic salivary gland adenoma]; []	TSG, fusion
WNK2	Missense; ; ; ; ; 	Somatic; 	[gastric cancer]; []	TSG
WRN	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [osteosarcoma, meningioma, other tumour types]	TSG
WT1	Deletion; Missense; Nonsense; Frameshift; Splice site; Translocation	Somatic; Germline	[Wilms tumour, desmoplastic small round cell tumour]; [Wilms tumour]	oncogene, TSG, fusion
WWTR1	Translocation; ; ; ; ; 	Somatic; 	[epithelioid haemangioendothelioma]; []	oncogene, fusion
XPA	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG
XPC	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG
XPO1	Missense; ; ; ; ; 	Somatic; 	[CLL]; []	oncogene
YWHAE	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal sarcoma]; []	TSG, fusion
ZBTB16	Translocation; ; ; ; ; 	Somatic; 	[APL]; []	TSG, fusion
ZCCHC8	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
ZEB1	Missense; ; ; ; ; 	Somatic; 	[CCRCC, melanoma]; []	oncogene
ZFHX3	Missense; Nonsense; ; ; ; 	Somatic; 	[endometrial, gastric, prostate]; []	TSG
ZMYM2	Translocation; ; ; ; ; 	Somatic; 	[MPN, NHL]; []	fusion
ZMYM3	Frameshift; ; ; ; ; 	Somatic; 	[CRC, breast cancer]; []	TSG
ZNF331	Translocation; ; ; ; ; 	Somatic; 	[follicular thyroid adenoma]; []	TSG, fusion
ZNF384	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion
ZNF429	Missense; ; ; ; ; 	Somatic; 	[GBM]; []	
ZNF479	Missense; ; ; ; ; 	Somatic; 	[lung cancer, bladder carcinoma, prostate carcinoma]; []	
ZNF521	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion
ZNRF3	Nonsense; Frameshift; Missense; ; ; 	Somatic; 	[colorectal cancer, adrenocortical carcinoma, gastric cancer]; []	TSG
ZRSR2	Frameshift; Splice site; Missense; ; ; 	Somatic; 	[MDS, CLL]; []	TSG

